Marca,Modelo,Año,Version,Precio,Precio_USD,Antigüedad,Precio_Venta_3A,Perdida_Tenencia_3A,Indice_Bruto,Score_Oportunidad_100
Chevrolet,TRACKER,2025,5P 1.2 T 6AT RS 2026,35539000,24439.0,1,18876.358135057075,5563.0,4.392707643039373,16.2
Chevrolet,TRACKER,2024,5P 1.2 T 6AT PREMIER 170 2024,31489000,21654.0,2,17932.884059964243,3721.0,5.817878329575523,100.0
Chevrolet,TRACKER,2023,5P 1.2 T 6AT PREMIER 2024,29681000,20411.0,3,16403.520836198597,4007.0,5.092430854136249,57.4
Chevrolet,TRACKER,2022,5P 1.2 T 6AT PREMIER,27450000,18876.0,4,14930.54600467611,3946.0,4.782684736816963,39.2
Chevrolet,TRACKER,2021,5P 1.2 T 6AT PREMIER,26078000,17933.0,5,13577.224590840324,4356.0,4.116200540128597,0.0
Chevrolet,TRACKER,2020,5P 1.2 T 6AT PREMIER,23854000,16404.0,6,12573.923806904138,3830.0,4.28223608767845,9.8
Chevrolet,TRACKER,2019,5P 1.8 LTZ + AT 4X4 AWD 2017,21712000,14931.0,7,11517.672947324989,3413.0,4.3734918533441185,15.1
Chevrolet,TRACKER,2018,5P 1.8 LTZ + AT 4X4 AWD 2017,19744000,13577.0,8,10760.55563196259,2817.0,4.818601755206928,41.3
Chevrolet,TRACKER,2017,5P 1.8 LTZ + AT 4X4 AWD 2017,18285000,12574.0,9,10145.784623848163,2428.0,5.176287919033743,62.3
Chevrolet,TRACKER,2016,5P 1.8 LTZ + AT 4X4 AWD,16749000,11518.0,10,,,,
Chevrolet,TRACKER,2015,5P 1.8 LTZ + AT 4X4 AWD,15648000,10761.0,11,,,,
Chevrolet,TRACKER,2014,5P 1.8 LTZ + AT 4X4 AWD,14754000,10146.0,12,,,,
Mercedes-Benz,GLC 300,2025,5P 2.0 T 4MATIC 9AT MHEV COUPE,134243000,92314.0,1,73652.86755604456,18661.0,4.9465971425889075,94.9
Mercedes-Benz,GLC 300,2024,5P 2.0 T 4MATIC 9AT MHEV COUPE,127850000,87918.0,2,70145.09696052813,17773.0,4.946519898269064,94.9
Mercedes-Benz,GLC 300,2023,5P 2.0 T 4MATIC 9AT MHEV COUPE,121458000,83522.0,3,63900.42635125842,19622.0,4.256389232451747,60.8
Mercedes-Benz,GLC 300,2022,5P 4MATIC AT AMG-LINE COUPE FL,107106000,73653.0,4,59071.65451794801,14581.0,5.050870355797425,100.0
Mercedes-Benz,GLC 300,2021,5P 4MATIC AT AMG-LINE COUPE FL,102005000,70145.0,5,51052.12487965892,19093.0,3.6736775702531004,32.0
Mercedes-Benz,GLC 300,2020,5P 4MATIC AT AMG-LINE COUPE FL,92924000,63900.0,6,46780.3603355797,17120.0,3.732269140995147,34.9
Mercedes-Benz,GLC 300,2019,5P 4MATIC AT AMG-LINE COUPE FL,85902000,59072.0,7,39541.32856553431,19530.0,3.024456949920898,0.0
Mercedes-Benz,GLC 300,2018,5P 2.0 4MATIC AT AMG-LINE COUPE LL 20,74240000,51052.0,8,,,,
Mercedes-Benz,GLC 300,2017,5P 2.0 4MATIC AT AMG-LINE COUPE LL 20,68028000,46780.0,9,,,,
Mercedes-Benz,GLC 300,2016,5P 2.0 4MATIC AT,57501000,39541.0,10,,,,
Nissan,SENTRA,2025,4P 2.0 EXCLUSIVE CVT,38842000,26710.0,1,22961.765919405858,3748.0,7.123764560920106,88.9
Nissan,SENTRA,2024,4P 2.0 EXCLUSIVE CVT,36900000,25375.0,2,22069.178929995873,3306.0,7.673983876148804,100.0
Nissan,SENTRA,2023,4P 2.0 EXCLUSIVE CVT,36127000,24843.0,3,18676.935772245906,6166.0,4.028230416786873,26.2
Nissan,SENTRA,2022,4P 1.8 EXCLUSIVE CVT SAFETY PACK 2019,33391000,22962.0,4,17449.456745977168,5512.0,4.164788368856537,28.9
Nissan,SENTRA,2021,4P 1.8 EXCLUSIVE CVT SAFETY PACK 2019,32093000,22069.0,5,14001.512859304084,8068.0,2.7351706882701263,0.0
Nissan,SENTRA,2020,4P 1.8 EXCLUSIVE CVT SAFETY PACK 2019,27160000,18677.0,6,13323.476825746115,5353.0,3.488108875025555,15.2
Nissan,SENTRA,2019,4P 1.8 EXCLUSIVE CVT SAFETY PACK 2019,25375000,17449.0,7,12928.75808004401,4521.0,3.859049006835148,22.8
Nissan,SENTRA,2018,4P 1.8 EXCLUSIVE CVT 2016,20361000,14002.0,8,10104.524824645852,3897.0,3.5919845660921093,17.3
Nissan,SENTRA,2017,4P 1.8 EXCLUSIVE CVT 2016,19375000,13323.0,9,9216.0638151561,4107.0,3.2429740611284625,10.3
Nissan,SENTRA,2016,4P 1.8 EXCLUSIVE CVT 2016,18801000,12929.0,10,,,,
Nissan,SENTRA,2015,4P 1.8 EXCLUSIVE CVT,14694000,10105.0,11,,,,
Nissan,SENTRA,2014,4P 1.8 SR CVT,13402000,9216.0,12,,,,
Toyota,COROLLA,2025,4P HEV 1.8 SEG ECVT SAFETY 2025,43797000,30118.0,1,25127.90537752716,4990.0,6.034760784298162,60.0
Toyota,COROLLA,2024,4P HEV 1.8 SEG ECVT 2024,39725000,27317.0,2,23931.371200660156,3386.0,8.065246043704962,100.0
Toyota,COROLLA,2023,4P HV 1.8 SEG CVT 2020,38767000,26659.0,3,22791.913079356345,3867.0,6.892579905797789,76.9
Toyota,COROLLA,2022,4P HV 1.8 SEG CVT 2020,36541000,25128.0,4,21652.454958052538,3475.0,7.228035020077924,83.5
Toyota,COROLLA,2021,4P HV 1.8 SEG CVT 2020,34801000,23931.0,5,18051.849814330904,5880.0,4.069600232437661,21.3
Toyota,COROLLA,2020,4P HV 1.8 SEG CVT 2020,33144000,22792.0,6,16869.068903864667,5923.0,3.8474869365490387,17.0
Toyota,COROLLA,2019,4P HV 1.8 SEG CVT 2020,31487000,21652.0,7,14401.732911566496,7251.0,2.98583630470843,0.0
Toyota,COROLLA,2018,4P 1.8 SEG CVT 2017,26251000,18052.0,8,13943.74914042085,4108.0,4.3931388512692475,27.7
Toyota,COROLLA,2017,4P 1.8 SEG CVT 2017,24531000,16869.0,9,,,,
Toyota,COROLLA,2016,4P 1.8 SEG CVT 2016,20943000,14402.0,10,,,,
Toyota,COROLLA,2015,4P 1.8 SEG CVT 2016,20277000,13944.0,11,,,,
Toyota,COROLLA CROSS,2025,5P 2.0 SEG CVT SAFETY 2025,47407000,32600.0,1,26015.678723696878,6584.0,4.950370879443041,0.0
Toyota,COROLLA CROSS,2024,5P 2.0 SEG CVT 2024,43000000,29570.0,2,24776.509420987484,4793.0,6.168010111864468,100.0
Toyota,COROLLA CROSS,2023,5P 2.0 SEG CVT 2024,41710000,28682.0,3,,,,
Toyota,COROLLA CROSS,2022,5P 2.0 SEG CVT,37832000,26016.0,4,,,,
Toyota,COROLLA CROSS,2021,5P 2.0 SEG CVT,36030000,24777.0,5,,,,
Toyota,HILUX,2025,D/C 2.8 TDI 4X4 SRX 6AT HAR 2025,62256000,42811.0,1,34109.47600055013,8702.0,4.919301908579465,0.0
Toyota,HILUX,2024,D/C 2.8 TDI 4X4 SRX 6AT HAR 2025,59292000,40773.0,2,32798.102049236695,7975.0,5.1120605364808025,4.8
Toyota,HILUX,2023,D/C 2.8 TDI 4X4 SRX 6AT 2024,54687000,37606.0,3,31235.7309861092,6371.0,5.902247080342808,24.2
Toyota,HILUX,2022,D/C 2.8 TDI 4X4 SRX 6AT 2021,49602000,34109.0,4,28236.143584101224,5873.0,5.806528058412066,21.9
Toyota,HILUX,2021,D/C 2.8 TDI 4X4 SRX 6AT 2021,47695000,32798.0,5,26979.09503507083,5819.0,5.635405931540339,17.7
Toyota,HILUX,2020,D/C 2.8 TDI 4X4 SRX 6AT 2021,45423000,31236.0,6,25385.779122541604,5850.0,5.338572545880309,10.3
Toyota,HILUX,2019,D/C 2.8 TDI 4X4 SRX 6AT 2020,41061000,28236.0,7,25090.771558245084,3145.0,8.974191021297951,100.0
Toyota,HILUX,2018,D/C 2.8 TDI 4X4 SRX 6AT 2019,39233000,26979.0,8,,,,
Toyota,HILUX,2017,D/C 2.8 TDI 4X4 SRX 6AT 2016,36916000,25386.0,9,,,,
Toyota,HILUX,2016,D/C 2.8 TDI 4X4 SRX 6AT 2016,36487000,25091.0,10,,,,
Volkswagen,GOL,2016,5P 1.4L POWER 4G DH A/C,10906000,7500.0,10,6509.420987484527,990.0,7.565970531703331,0.0
Volkswagen,GOL,2015,5P 1.4L POWER 4G DH A/C,10489000,7213.0,11,6306.560308073167,906.0,7.949499118650723,100.0
Volkswagen,GOL,2014,5P 1.4L POWER 4G DH A/C,9906000,6812.0,12,,,,
Volkswagen,GOL,2013,5P 1.4L POWER 4G DH A/C,9466000,6509.0,13,,,,
Volkswagen,GOL,2012,5P 1.4L POWER 4G DH A/C,9171000,6307.0,14,,,,
